departure_hour,day_of_week,month,origin_airport,destination_airport,route_distance_km,weather_score,crew_duty_hours,historical_delay_rate,aircraft_age,gate_turnaround_mins,aircraft_type,delay_label,delay_probability,origin_encoded,destination_encoded,aircraft_encoded,is_peak_hour,is_monsoon,is_fog_season,is_peak_day,crew_risk,tight_turnaround,aging_aircraft,weather_monsoon,risk_score
17,6,8,CCU,DEL,1268,2,9.1,0.4339781061914633,15,44,A320,1,1.0,4,1,0,1,1,0,1,0,0,0,2,0.7218923371670121
13,4,8,DEL,BOM,1148,0,6.6,0.3332815785912484,19,61,ATR72,0,0.3333,1,0,3,0,1,0,1,0,0,1,0,0.18664855250693696
19,5,7,BOM,DEL,1124,1,3.0,0.3611722067795548,5,46,A320,1,0.6445,0,1,0,1,1,0,0,0,0,0,1,0.3764102723728442
9,4,11,DEL,BOM,1171,0,11.7,0.3110631736955207,4,71,B777,0,0.4744,1,0,4,1,0,1,1,1,0,0,0,0.4088721107934323
3,3,2,BLR,HYD,476,1,10.0,0.18427244433475962,11,46,B777,0,0.4237,2,3,4,0,0,1,0,0,0,0,0,0.39449535551716586
7,5,6,CCU,DEL,1326,0,4.7,0.44149502631526544,13,81,B737,1,0.5266,4,1,1,1,1,0,0,0,0,0,0,0.1545232592103429
7,3,11,BLR,HYD,525,0,12.9,0.20900846371240867,5,50,B737,0,0.4336,2,3,1,1,0,1,0,1,0,0,0,0.303152962299343
13,0,6,BOM,PNQ,80,0,2.5,0.19848411989623344,14,55,A320,0,0.2794,0,8,0,0,1,0,0,0,0,0,0,0.0694694419636817
7,6,5,BOM,PNQ,116,0,5.4,0.18028534485980113,21,45,A320,0,0.4221,0,8,0,1,0,0,1,0,0,1,0,0.1330998707009304
10,5,2,PNQ,BOM,76,0,10.6,0.13522179408898072,11,78,ATR72,0,0.4041,8,0,3,0,0,1,0,1,0,0,0,0.27732762793114324
19,5,5,BOM,HYD,657,0,11.1,0.2277587172629418,18,68,A320,1,0.5911,0,3,0,1,0,0,0,1,0,0,0,0.22971555104202962
19,5,6,DEL,GOI,1941,0,3.4,0.3299595911766477,13,70,A321,1,0.482,1,7,2,1,1,0,0,0,0,0,0,0.11548585691182668
12,4,8,DEL,GOI,1868,0,11.1,0.34532888347480273,2,57,A321,0,0.4381,1,7,2,0,1,0,1,1,0,0,0,0.34086510921618096
7,4,7,BOM,DEL,1100,0,4.5,0.39439995432390157,1,74,ATR72,0,0.4078,0,1,3,1,1,0,1,0,0,0,0,0.20803998401336554
7,0,9,BOM,HYD,636,0,9.7,0.20197105377543642,15,86,A321,0,0.4808,0,3,2,1,1,0,0,0,0,0,0,0.07068986882140274
7,1,3,BLR,HYD,545,3,8.8,0.2106850148962586,16,87,ATR72,1,1.0,2,3,3,1,0,0,0,0,0,0,0,0.8237397552136905
22,1,7,AMD,DEL,913,0,3.7,0.17265322038738196,19,55,B777,0,0.2691,6,1,4,0,1,0,0,0,0,1,0,0.06042862713558368
0,6,5,DEL,BOM,1117,0,11.7,0.33630592121950903,12,39,B777,0,0.5045,1,0,4,0,0,0,1,1,0,0,0,0.3377070724268281
1,4,12,DEL,CCU,1353,2,10.9,0.4140113175766453,10,49,A321,1,0.7656,1,4,2,0,0,1,1,1,0,0,0,0.9449039611518257
17,2,1,DEL,GOI,1863,1,10.1,0.340255004359698,9,41,A321,1,0.7561,1,7,2,1,0,1,0,1,0,0,0,0.5990892515258942
1,6,5,DEL,AMD,914,2,7.9,0.2315054428402457,9,57,B737,1,0.5426,1,6,1,0,0,0,1,0,0,0,0,0.651026904994086
11,6,5,BLR,DEL,1775,0,12.7,0.43738900775625156,8,31,B777,1,0.495,2,1,4,0,0,0,1,1,0,0,0,0.37308615271468804
9,4,1,BOM,HYD,595,0,11.0,0.24220360595506873,2,73,A321,0,0.4469,0,3,2,1,0,1,1,1,0,0,0,0.38477126208427403
18,1,5,BLR,BOM,805,0,5.6,0.32190459051842457,7,73,B737,0,0.2788,2,0,1,1,0,0,0,0,0,0,0,0.1126666066814486
23,0,10,DEL,BLR,1725,0,3.1,0.4541529660310043,17,81,A321,0,0.2817,1,2,2,0,0,0,0,0,0,0,0,0.1589535381108515
8,1,2,DEL,BOM,1170,0,10.5,0.34954913162061985,11,61,A320,1,0.5398,1,0,0,1,0,1,0,1,0,0,0,0.35234219606721695
17,4,12,BOM,BLR,838,3,1.1,0.24030937460137453,5,63,A321,1,0.8461,0,2,2,1,0,1,1,0,0,0,0,0.9841082811104811
9,0,7,DEL,GOI,1896,0,13.5,0.37583924139456815,21,89,A320,1,0.7003,1,7,0,1,1,0,0,1,0,1,0,0.28154373448809883
14,2,10,MAA,BOM,990,0,10.2,0.34252483174156656,21,26,B777,1,0.587,5,0,4,0,0,0,0,1,1,1,0,0.36988369110954833
15,1,11,BOM,PNQ,156,1,10.7,0.10548826146464749,3,37,A321,1,0.5622,0,8,2,0,0,1,0,1,0,0,0,0.5169208915126265
13,6,8,DEL,GOI,1948,1,7.3,0.3884998356523281,11,59,B737,1,0.5554,1,7,1,0,1,0,1,0,0,0,1,0.4559749424783148
6,6,8,MAA,BOM,968,1,5.1,0.3125891376437009,16,61,ATR72,1,0.575,5,0,3,0,1,0,1,0,0,0,1,0.4294061981752953
9,1,11,BOM,BLR,807,0,13.2,0.30987832357736655,7,65,ATR72,0,0.474,0,2,3,1,0,1,0,1,0,0,0,0.3384574132520783
20,3,9,DEL,GOI,1865,2,13.8,0.3768273413864518,7,24,A320,1,1.0,1,7,0,1,1,0,0,1,1,0,2,0.8818895694852581
12,5,8,BOM,BLR,824,2,10.3,0.2889108534470895,16,84,B777,1,0.9656,0,2,4,0,1,0,0,1,0,0,2,0.7511187987064813
14,0,9,DEL,CCU,1342,0,13.4,0.47979893221433834,5,62,ATR72,0,0.4919,1,4,3,0,1,0,0,1,0,0,0,0.3179296262750184
23,2,2,AMD,DEL,864,1,1.8,0.21015802364254876,21,76,B737,0,0.3841,6,1,1,0,0,1,0,0,0,1,0,0.4035553082748921
23,5,5,BOM,BLR,799,1,3.8,0.2818260366676392,20,80,A321,0,0.4627,0,2,2,0,0,0,0,0,0,1,0,0.3486391128336737
17,5,1,GOI,DEL,1937,2,7.0,0.3422937382935119,15,87,B777,1,0.7869,7,1,4,1,0,1,0,0,0,0,0,0.6998028084027291
23,2,11,DEL,CCU,1346,0,1.6,0.4852193533347008,10,28,A320,0,0.3441,1,4,0,0,0,1,0,0,1,0,0,0.34982677366714526
23,3,6,DEL,BOM,1169,1,1.6,0.3532602519400762,5,79,B777,0,0.4413,1,0,4,0,1,0,0,0,0,0,1,0.37364108817902664
16,1,8,DEL,AMD,884,0,8.7,0.23246809659251494,8,59,A321,0,0.293,1,6,2,0,1,0,0,0,0,0,0,0.08136383380738023
5,2,8,BOM,DEL,1189,2,12.3,0.40083629767150347,11,64,A320,1,0.9103,0,1,0,0,1,0,0,1,0,0,2,0.7902927041850262
5,3,7,BLR,BOM,799,2,12.3,0.2529247283034559,10,29,A321,1,0.9512,2,0,2,0,1,0,0,1,1,0,2,0.8385236549062096
17,3,2,BOM,HYD,647,1,4.4,0.2193132864587293,13,65,A321,1,0.4877,0,3,2,1,0,1,0,0,0,0,0,0.40675965026055527
7,6,2,DEL,GOI,1909,0,11.6,0.3128448718093191,19,49,B737,1,0.6251,1,7,1,1,0,1,1,1,0,1,0,0.40949570513326167
14,5,5,DEL,BOM,1190,1,3.3,0.37708541085409897,4,83,A320,0,0.4008,1,0,0,0,0,0,0,0,0,0,0,0.3819798937989346
9,5,1,DEL,GOI,1871,1,1.6,0.3871536806152376,15,48,ATR72,1,0.6049,1,7,3,1,0,1,0,0,0,0,0,0.46550378821533317
19,4,12,BOM,BLR,801,0,11.7,0.26718335292387246,19,77,B737,1,0.5569,0,2,1,1,0,1,1,1,0,1,0,0.3935141735233554
3,0,3,DEL,BOM,1110,2,7.9,0.3825920765799896,11,51,B737,1,0.603,1,0,1,0,0,0,0,0,0,0,0,0.6339072268029964
21,2,11,PNQ,BOM,136,3,3.0,0.1332334801042602,21,66,B777,1,0.8033,8,0,4,0,0,1,0,0,0,1,0,0.876631718036491
18,0,5,BLR,DEL,1692,0,5.2,0.4224422672614117,2,80,A321,0,0.319,2,1,2,1,0,0,0,0,0,0,0,0.14785479354149408
17,6,12,MAA,BOM,1044,0,3.1,0.2703701249276274,21,27,A321,1,0.5581,5,0,2,1,0,1,1,0,1,1,0,0.3446295437246696
6,2,12,PNQ,BOM,122,2,13.6,0.10854588746766544,15,44,A320,1,0.8134,8,0,0,0,0,1,0,1,0,0,0,0.7679910606136828
3,0,6,PNQ,BOM,117,0,1.8,0.1481971401914399,21,21,A321,1,0.4593,8,0,2,0,1,0,0,0,1,1,0,0.15186899906700396
7,4,2,DEL,GOI,1943,0,7.2,0.36000205481193037,11,64,A320,0,0.344,1,7,0,1,0,1,1,0,0,0,0,0.2760007191841756
8,2,6,BLR,DEL,1740,0,4.1,0.44866625932671467,15,73,ATR72,0,0.4795,2,1,3,1,1,0,0,0,0,0,0,0.15703319076435013
7,1,12,CCU,DEL,1351,0,2.1,0.4150626931209181,1,45,B737,0,0.316,4,1,1,1,0,1,0,0,0,0,0,0.2252719425923213
17,6,2,AMD,DEL,883,0,9.3,0.24064757264869013,6,28,A320,1,0.5463,6,1,0,1,0,1,1,0,1,0,0,0.3342266504270416
17,3,8,DEL,CCU,1326,1,11.4,0.43394501925428064,7,23,B737,1,0.9736,1,4,1,1,1,0,0,1,1,0,1,0.6518807567389981
8,3,10,BOM,BLR,808,0,1.8,0.2547103234010147,13,44,B777,0,0.3719,0,2,4,1,0,0,0,0,0,0,0,0.08914861319035514
22,5,4,BOM,PNQ,114,0,11.3,0.1658707775500876,19,63,B737,0,0.4663,0,8,1,0,0,0,0,1,0,1,0,0.20805477214253065
21,4,8,BOM,PNQ,128,1,3.6,0.16802282424312914,15,26,ATR72,1,0.6172,0,8,3,0,1,0,1,0,1,0,1,0.47880798848509526
4,3,12,PNQ,BOM,89,0,8.1,0.1413995867808725,9,55,B737,0,0.2066,8,0,1,0,0,1,0,0,0,0,0,0.12948985537330537
1,6,2,BLR,BOM,830,0,4.6,0.30923503285933623,12,22,B777,0,0.3737,2,0,4,0,0,1,1,0,1,0,0,0.3582322615007677
0,2,10,BLR,HYD,457,0,8.8,0.1932540533226306,14,21,B777,0,0.3773,2,3,4,0,0,0,0,0,1,0,0,0.16763891866292072
8,5,6,DEL,AMD,899,0,8.7,0.20794148993435008,20,21,A320,1,0.7332,1,6,0,1,1,0,0,0,1,1,0,0.17277952147702252
2,4,5,DEL,BOM,1162,1,2.7,0.3969821045078544,15,50,A321,0,0.4088,1,0,2,0,0,0,1,0,0,0,0,0.45894373657774906
15,1,10,AMD,DEL,915,2,6.6,0.194871427258763,11,20,A320,1,0.6779,6,1,0,0,0,0,0,0,1,0,0,0.668204999540567
10,4,5,PNQ,BOM,145,0,12.0,0.17056701529500534,15,25,ATR72,1,0.5182,8,0,3,0,0,0,1,1,1,0,0,0.37969845535325186
17,5,2,PNQ,BOM,142,0,13.2,0.09393435406685097,3,89,B777,1,0.4876,8,0,4,1,0,1,0,1,0,0,0,0.26287702392339785
0,0,3,DEL,BLR,1767,1,6.2,0.41798970815920733,11,69,B777,0,0.4172,1,2,4,0,0,0,0,0,0,0,0,0.39629639785572257
10,1,7,BLR,HYD,493,0,2.6,0.14327146538192773,20,69,B737,0,0.2573,2,3,1,0,1,0,0,0,0,1,0,0.0501450128836747
17,4,1,HYD,BOM,577,0,4.0,0.31633468328203995,15,53,A320,0,0.3265,3,0,0,1,0,1,1,0,0,0,0,0.26071713914871397
9,5,2,BOM,MAA,1046,1,12.3,0.32706097466388295,12,65,ATR72,1,0.7808,0,5,3,1,0,1,0,1,0,0,0,0.594471341132359
15,5,5,BOM,PNQ,117,1,2.4,0.16578453046030361,18,83,A320,1,0.4663,0,8,0,0,0,0,0,0,0,0,0,0.30802458566110624
12,0,5,HYD,BLR,526,0,2.4,0.20505116477917157,6,23,A321,0,0.232,3,2,2,0,0,0,0,0,1,0,0,0.17176790767271005
12,0,7,GOI,DEL,1932,2,5.9,0.3096869274560281,7,34,A320,1,0.6939,7,1,0,0,1,0,0,0,0,0,2,0.6083904246096098
14,4,3,BOM,HYD,629,0,8.8,0.25456868884954736,3,63,B737,0,0.2018,0,3,1,0,0,0,1,0,0,0,0,0.15909904109734158
13,5,10,HYD,BOM,635,0,5.9,0.30633336495718255,16,85,ATR72,0,0.2725,3,0,3,0,0,0,0,0,0,0,0,0.1072166777350139
4,1,5,MAA,BOM,1043,0,8.9,0.3264883261542128,6,65,B737,0,0.2306,5,0,1,0,0,0,0,0,0,0,0,0.11427091415397447
12,4,7,BOM,MAA,1044,1,12.7,0.2943482296576299,11,70,ATR72,1,0.6677,0,5,3,0,1,0,1,1,0,0,1,0.5730218803801705
1,5,4,BOM,PNQ,121,1,13.1,0.153226021333904,8,35,B737,1,0.6313,0,8,1,0,0,0,0,1,0,0,0,0.45362910746686635
1,0,4,GOI,DEL,1939,0,3.4,0.3481117853964983,10,58,B777,0,0.1392,7,1,4,0,0,0,0,0,0,0,0,0.1218391248887744
9,4,10,DEL,GOI,1905,3,7.3,0.3805992549775158,1,63,B777,1,0.9022,1,7,4,1,0,0,1,0,0,0,0,0.9532097392421306
22,5,6,DEL,AMD,860,2,4.0,0.17120448399082266,10,61,A320,1,0.6185,1,6,0,0,1,0,0,0,0,0,2,0.5599215693967879
3,1,8,DEL,BLR,1708,2,9.7,0.45095299757684415,19,55,B737,1,0.8804,1,2,1,0,1,0,0,0,0,1,2,0.6578335491518954
4,6,1,GOI,DEL,1948,2,7.1,0.3335358101842661,16,56,A321,1,0.6834,7,1,2,0,0,1,1,0,0,0,0,0.766737533564493
9,0,9,BOM,MAA,989,3,2.8,0.3395144554047594,3,61,B777,1,0.9858,0,5,4,1,1,0,0,0,0,0,3,0.8688300593916658
10,6,8,DEL,GOI,1909,2,8.8,0.33372271327554204,7,55,B777,1,0.7835,1,7,4,0,1,0,1,0,0,0,2,0.6868029496464396
8,0,11,BOM,BLR,864,0,1.9,0.28190597909082704,2,79,B777,0,0.2628,0,2,4,1,0,1,0,0,0,0,0,0.17866709268178946
5,1,3,HYD,BOM,613,0,5.3,0.28694869551981905,12,21,A320,0,0.3148,3,0,0,0,0,0,0,0,1,0,0,0.20043204343193666
7,5,12,PNQ,BOM,127,3,3.3,0.1590004890820666,16,81,A320,1,1.0,8,0,0,1,0,1,0,0,0,0,0,0.8856501711787232
16,3,8,MAA,BOM,1048,0,6.0,0.2619829002017646,19,24,ATR72,0,0.4548,5,0,3,0,1,0,0,0,1,1,0,0.19169401507061762
0,0,5,MAA,BOM,1048,1,2.2,0.3255270420496808,1,35,ATR72,0,0.4002,5,0,3,0,0,0,0,0,0,0,0,0.3639344647173883
13,3,1,DEL,BOM,1120,0,5.7,0.30876427467638384,9,84,A321,0,0.1235,1,0,2,0,0,1,0,0,0,0,0,0.18806749613673435
17,6,6,BLR,BOM,829,1,8.5,0.30665753621714187,20,31,A320,1,0.8927,2,0,0,1,1,0,1,0,0,1,1,0.42733013767599964
12,2,8,GOI,DEL,1879,1,2.8,0.30119824909022386,14,34,B777,0,0.5405,7,1,4,0,1,0,0,0,0,0,1,0.35541938718157834
2,1,4,DEL,BOM,1179,1,11.7,0.3132524672741848,1,55,A320,1,0.5253,1,0,0,0,0,0,0,1,0,0,0,0.5096383635459647
19,2,3,AMD,DEL,880,2,9.7,0.18217619111252747,21,87,A320,1,0.8229,6,1,0,1,0,0,0,0,0,1,0,0.5637616668893846
11,3,4,DEL,AMD,857,0,12.1,0.15003325061204895,11,21,ATR72,0,0.46,1,6,3,0,0,0,0,1,1,0,0,0.30251163771421713
4,2,2,BOM,PNQ,79,0,7.3,0.17542535443438628,15,28,A321,0,0.3202,0,8,2,0,0,1,0,0,1,0,0,0.2413988740520352
18,6,12,AMD,DEL,936,0,14.0,0.2513970269506019,7,71,B777,1,0.5006,6,1,4,1,0,1,1,1,0,0,0,0.38798895943271067
